Title,Manufacturer,Price,Link,Category,Image,Store
"ASUS PRIME A520M-K, AMD A520 Chipset",ASUS,3.799 ден.,https://ddstore.mk/asus-prime-a520m-k-amd-a520-chipset-2-x-dimm-max-64gb-ddr4-total-supports-1-x-m-2-slot-and-4-x-sata-6gb-s-ports-rear-usb-total.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/4/944673.jpg,DDStore
"ASUS PRIME B450M-K II, AMD AM4 Socket",ASUS,3.999 ден.,https://ddstore.mk/asus-prime-b450m-k-ii-amd-am4-socket-amd-ryzen-2nd-generation-ryzen-with-radeon-vega-graphics-athlon-with-radeon-vega-graphics-ryzen-1.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/4/947242_28_w.jpg,DDStore
"ASUS PRIME B450M-A II, AMD AM4 Socket",ASUS,4.400 ден.,https://ddstore.mk/asus-prime-b450m-a-ii-amd-am4-socket-amd-ryzen-2nd-generation-ryzen-with-radeon-vega-graphics-athlon-with-radeon-vega-graphics-ryzen-1.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/4/947244_66_w.jpg,DDStore
MB Gigabyte A520M S2H AM4 DDR4 5100MHz OC SATA3 M.2 USB 3.2 HDMI/DVI/VGA GBit LAN,Gigabyte,3.980 ден.,https://ddstore.mk/mb-gigabyte-a520m-s2h-am4-ddr4-5100mhz-oc-sata3-m-2-usb-3-2-hdmi-dvi-vga-gbit-lan.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/4/947788_78_w.jpg,DDStore
MB Gigabyte B550 AORUS ELITE V2 AM4 DDR4 4733MHz OC SATA3 2xM.2 USB3.2/Type-C PCIe 4.0 DP/HDMI,Gigabyte,8.480 ден.,https://ddstore.mk/mb-gigabyte-b550-aorus-elite-v2-am4-ddr4-4733mhz-oc-sata3-2xm-2-usb3-2-type-c-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/4/949216_45_w.jpg,DDStore
"GIGABYTE MB AMD AM4 B550, 4xDDR4 Max.128GB",AMD,6.174 ден.,https://ddstore.mk/gigabyte-mb-amd-am4-b550-4xddr4-max-128gb.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/951063_92_w.png,DDStore
"ASUS ROG CROSSHAIR VIII HERO(WI FI), AMD X570 ATX gaming",ASUS,28.300 ден.,https://ddstore.mk/asus-rog-crosshair-viii-hero-wi-fi-amd-x570-atx-gaming-motherboard-with-pcie-4-0-16-power-stages-optimem-iii-on-board-wi-fi-6-80.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/951967_55_w.jpg,DDStore
MB Gigabyte H410M H V2 LGA1200 DDR4 2933MHz SATA3 M.2 USB3.2 GBit LAN HDMI/VGA,Gigabyte,3.579 ден.,https://ddstore.mk/mb-gigabyte-h410m-h-v2-lga1200-ddr4-2933mhz-sata3-m-2-usb3-2-gbit-lan-hdmi-vga.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/952864_14_w.jpg,DDStore
"ASUS PRIME B560M-K, Intel B560 (LGA 1200) PCIe 4.0, two M.2 slots, 8 power stages",ASUS,5.600 ден.,https://ddstore.mk/asus-prime-b560m-k-intel-b560-lga-1200-matx-motherboard-with-pcie-4-0-two-m-2-slots-8-power-stages-intel-1-gb-ethernet-hdmi-d-s.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/953220.jpg,DDStore
ASROCK MB AM4 B450M-HDV R4.0 2xDDR4 3200Mhz(O.C), ,3.890 ден.,https://ddstore.mk/mb-am4-b450m-hdv-r4-0-asrock-2xddr4-3200mhz-o-c-1xpciex16-1xpciex1-hdmi-dvi-d-d-sub-4xsataiii-1xm-2-6xusb-3-1-gen1.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/953529_54_w.png,DDStore
