Title,Manufacturer,Price,Code,Warranty,Link,Category,Description,Image,Store
Asrock A520M-HDV Socket AM4 micro ATX, ,4290, , ,https://gjirafa50.mk/pllake-ame-asrock-a520m-hdv-socket-am4-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/9b1b0bf4-1a95-40b3-b548-78b1e56cb01d/9b1b0bf4-1a95-40b3-b548-78b1e56cb01d.jpeg?w=190,Zhirafa50
Biostar H510MHP 2.0 Intel H510 LGA 1200 (Socket H5) micro ATX,Intel,5190, , ,https://gjirafa50.mk/pllake-ame-biostar-h510mhp-20-intel-h510-lga-1200-socket-h5-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/10913814-fde6-481b-805f-e5296e1a1a80/10913814-fde6-481b-805f-e5296e1a1a80.jpeg?w=190,Zhirafa50
ASUS PRIME B450-PLUS Socket AM4 ATX AMD B450,ASUS,6990, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b450-plus-amd-b450-socket-am4-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a8fb5f7d-2498-4e65-bbdb-35b7788160d8/a8fb5f7d-2498-4e65-bbdb-35b7788160d8.jpeg?w=190,Zhirafa50
Gigabyte B550M DS3H Socket AM4 micro ATX AMD B550,Gigabyte,7690, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b550m-ds3h-socket-am4-micro-atx-amd-b550,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/302523b3-a0ca-4f94-8f19-82c841946cb5/302523b3-a0ca-4f94-8f19-82c841946cb5.jpeg?w=190,Zhirafa50
ASUS TUF Gaming B650-PLUS WiFi AMD B650 Socket AM5 ATX,ASUS,13890, , ,https://gjirafa50.mk/pllake-ame-asus-tuf-gaming-b650-plus-wifi-amd-b650-socket-am5-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/163b398b-2013-4267-972e-87db9f9dd11b/163b398b-2013-4267-972e-87db9f9dd11b.jpeg?w=190,Zhirafa50
ASUS ROG STRIX B650E-E Gaming WiFi AMD B650 Socket AM5 ATX,ASUS,24090, , ,https://gjirafa50.mk/pllake-ame-asus-rog-strix-b650e-e-gaming-wifi-amd-b650-socket-am5-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/6e4f2916-e710-4f59-ac53-f48d3216ed09/6e4f2916-e710-4f59-ac53-f48d3216ed09.jpeg?w=190,Zhirafa50
ASUS ROG STRIX B550-A Gaming AMD B550 ATX,ASUS,9890, , ,https://gjirafa50.mk/pllake-ame-asus-rog-strix-b550-a-gaming-amd-b550-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a3c1a2d1-1f4d-415e-b6ad-f9afec466c87/a3c1a2d1-1f4d-415e-b6ad-f9afec466c87.jpeg?w=190,Zhirafa50
Gigabyte A520M S2H Socket AM4 micro ATX,Gigabyte,5190, , ,https://gjirafa50.mk/matichna-plocha-gigabyte-a520m-s2h-socket-am4-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/8deec49b-3ad6-48cd-a4be-19f87330eafa/8deec49b-3ad6-48cd-a4be-19f87330eafa.jpeg?w=190,Zhirafa50
Gigabyte B550I AORUS PRO AX AMD B550 AM4 socket Mini-ITX,Gigabyte,13090, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b550i-aorus-pro-ax-amd-b550-am4-socket-mini-itx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/35f3f3c3-4763-4af6-a080-bef2be573004/35f3f3c3-4763-4af6-a080-bef2be573004.jpeg?w=190,Zhirafa50
ASUS TUF GAMING B650-PLUS - AMD B650,ASUS,14390, , ,https://gjirafa50.mk/pllake-ame-asus-tuf-gaming-b650-plus-amd-b650-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a5107227-d708-4b38-9ee5-3fc658b653eb/a5107227-d708-4b38-9ee5-3fc658b653eb.jpeg?w=190,Zhirafa50
Gigabyte B760M GAMING X DDR4 LGA 1700 micro ATX,Gigabyte,9690, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b760m-gaming-x-ddr4-lga-1700-micro-atx-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/45a262cb-929b-4f4e-b141-0d9eed8601c7/45a262cb-929b-4f4e-b141-0d9eed8601c7.jpeg?w=190,Zhirafa50
MSI PRO H610M-E DDR4 - Intel H610,MSI,5290, , ,https://gjirafa50.mk/pllake-ame-msi-pro-h610m-e-ddr4-intel-h610-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/70aeeefe-cecc-4e3d-9f04-4b2287ea9ee6/70aeeefe-cecc-4e3d-9f04-4b2287ea9ee6.jpeg?w=190,Zhirafa50
MSI MAG Z790 TOMAHAWK MAX WIFI - Intel Z790,MSI,22690, , ,https://gjirafa50.mk/pllake-ame-msi-mag-z790-tomahawk-max-wifi-atx-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/d92c3440-0dd1-498a-b2de-b3623afd443f/d92c3440-0dd1-498a-b2de-b3623afd443f.jpeg?w=190,Zhirafa50
MSI PRO B650M-P - AMD B650,MSI,9990, , ,https://gjirafa50.mk/pllake-ame-msi-pro-b650m-p-3,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/00e1eb33-8d13-4e8c-9a8f-6e25103e9043/00e1eb33-8d13-4e8c-9a8f-6e25103e9043.jpeg?w=190,Zhirafa50
MSI PRO Z790-P - Intel Z790,MSI,15990, , ,https://gjirafa50.mk/pllake-ame-msi-pro-z790-p-intel-z790-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/b0c2bc52-82b2-495d-be23-6175a80682f6/b0c2bc52-82b2-495d-be23-6175a80682f6.jpeg?w=190,Zhirafa50
ASUS PRIME B550-PLUS AMD B550 Socket AM4 ATX,ASUS,8390, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b550-plus-amd-b550-socket-am4-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a9828e51-68bb-411b-accc-be68e7a6f401/a9828e51-68bb-411b-accc-be68e7a6f401.jpeg?w=190,Zhirafa50
MSI PRO Z690-A - Intel Z690,MSI,14390, , ,https://gjirafa50.mk/matichna-plocha-msi-pro-z690-a-intel-z690br-,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e8859802-8d1b-450e-b93b-c1031a305255/e8859802-8d1b-450e-b93b-c1031a305255.jpeg?w=190,Zhirafa50
