Title,Price,Old Price,Link,Category,Store
ASUS HYPER M.2 X16 GEN 4 CARD,"3,199 Ден.","3,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-hyper-m2-x16-gen-4-card27914,Motherboard,Setec
ASUS PRIME A520M-K,"3,799 Ден.","4,099 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-a520m-k24871,Motherboard,Setec
ASROCK B450M-HDV R4.0,"3,899 Ден.","4,299 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61726,Motherboard,Setec
ASUS PRIME H510M-R-SI 2.0,"3,899 Ден.","3,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-r-si-2034671,Motherboard,Setec
ASUS PRIME B450M-K II,"3,999 Ден.","4,399 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=24879,Motherboard,Setec
ASUS PRIME H510M-K R2.0,"3,999 Ден.","4,299 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-k-r2033821,Motherboard,Setec
ASUS PRIME H510M-R-SI,"4,199 Ден.","4,349 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-r-si28937,Motherboard,Setec
ASUS PRIME H510M-K,"4,299 Ден.","4,399 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-k27877,Motherboard,Setec
ASUS PRIME H610M-R D4-SI,"4,299 Ден.","4,799 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=59029,Motherboard,Setec
ASUS PRIME B450M-A,"4,399 Ден.","4,599 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b450m-a24836,Motherboard,Setec
ASUS PRIME B450M-A II,"4,399 Ден.","4,599 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=24878,Motherboard,Setec
ASUS PRIME H510M-E,"4,399 Ден.","4,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-e27878,Motherboard,Setec
ASUS PRIME H410M-K,"4,499 Ден.","4,549 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h410m-k24872,Motherboard,Setec
ASUS PRIME H410M-A,"4,549 Ден.","4,599 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h410m-a24873,Motherboard,Setec
ASUS PRIME H510M-A,"4,699 Ден.","4,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-h510m-a27913,Motherboard,Setec
